

Device Info|Sensor|Firmware Version|Hardware Version
|<YEI3Space WL:12000865>;17Mar2015N37;TSS-WL                  v2.0.0  

Raw Accelerometer Data (X, Y, Z)|Time|Battery
(-0.019775390625, 0.993896484375, -0.0078125)|4.34878974671|45 % 
(-0.018798828125, 0.99853515625, -0.006103515625)|4.40611248132|45 % 
(-0.019775390625, 0.99853515625, -0.0068359375)|4.41562518395|45 % 
(-0.01904296875, 0.996826171875, -0.01025390625)|4.42508455319|45 % 
(-0.02001953125, 0.9931640625, -0.00634765625)|4.43507844157|45 % 
(-0.017578125, 0.99658203125, -0.005859375)|4.44462195906|45 % 
(-0.0205078125, 0.995361328125, -0.00634765625)|4.45462414375|45 % 
(-0.021484375, 0.989501953125, -0.00634765625)|4.46417200692|45 % 
(-0.02001953125, 0.995361328125, -0.0078125)|4.47433379674|45 % 
(-0.02197265625, 0.994873046875, -0.0078125)|4.48370901773|45 % 
(-0.02099609375, 0.99853515625, -0.00830078125)|4.49322962161|45 % 
(-0.019775390625, 0.994873046875, -0.009765625)|4.5027636576|45 % 
(-0.01708984375, 0.99560546875, -0.0068359375)|4.51254618771|45 % 
(-0.020751953125, 0.99658203125, -0.00732421875)|4.52259736012|45 % 
(-0.020263671875, 0.996337890625, -0.005859375)|4.53267263132|45 % 
(-0.020751953125, 0.993408203125, -0.00634765625)|4.54264953203|45 % 
(-0.01904296875, 0.994873046875, -0.0078125)|4.55263117349|45 % 
(-0.01806640625, 0.99365234375, -0.0078125)|4.56220669101|45 % 
(-0.020751953125, 0.999267578125, -0.00830078125)|4.57167001087|45 % 
(-0.020263671875, 0.990966796875, -0.00732421875)|4.58121273823|45 % 
(-0.018798828125, 0.99609375, -0.002685546875)|4.59089610773|45 % 
(-0.02099609375, 0.996826171875, -0.005859375)|4.60029384726|45 % 
(-0.0185546875, 0.99365234375, -0.00634765625)|4.61030551345|45 % 
(-0.02001953125, 0.9951171875, -0.0078125)|4.61983836425|45 % 
(-0.02001953125, 0.995361328125, -0.005126953125)|4.62935264713|45 % 
(-0.0205078125, 0.9951171875, -0.00537109375)|4.63892539922|45 % 
(-0.025390625, 0.996337890625, -0.0078125)|4.67701650609|45 % 
(-0.01708984375, 0.9931640625, -0.0068359375)|4.68653315935|45 % 
(-0.01953125, 0.995361328125, -0.0087890625)|4.6960529731|45 % 
(-0.021240234375, 0.994384765625, -0.00439453125)|4.70575214509|45 % 
(-0.02001953125, 0.9951171875, -0.0087890625)|4.71559314441|45 % 
(-0.019287109375, 0.997802734375, -0.005126953125)|4.72562258839|45 % 
(-0.02392578125, 0.99658203125, -0.009521484375)|4.73561924222|45 % 
(-0.018310546875, 0.993896484375, -0.005859375)|4.74513668559|45 % 
(-0.01904296875, 0.995849609375, -0.00634765625)|4.75471615374|45 % 
(-0.0205078125, 0.996337890625, -0.0087890625)|4.7647772027|45 % 
(-0.018798828125, 0.99658203125, -0.004638671875)|4.77430768313|45 % 
(-0.0185546875, 0.994384765625, -0.009765625)|4.78425218874|45 % 
(-0.021240234375, 0.9951171875, -0.01025390625)|4.80364539691|45 % 
(-0.0166015625, 0.999755859375, -0.005859375)|4.81368511252|45 % 
(-0.019287109375, 0.995849609375, -0.0087890625)|4.82379633438|45 % 
(-0.018798828125, 0.992919921875, -0.00830078125)|4.83321619739|45 % 
(-0.0185546875, 0.998046875, -0.0087890625)|4.85230797311|45 % 
(-0.01904296875, 0.993896484375, -0.00927734375)|4.86225287378|45 % 
(-0.01953125, 0.995361328125, -0.00927734375)|4.89141794538|45 % 
(-0.01953125, 0.9990234375, -0.007568359375)|4.90139682141|45 % 
(-0.01953125, 0.99365234375, -0.0048828125)|4.91088424006|45 % 
(-0.0224609375, 0.992919921875, -0.00732421875)|4.92997838615|45 % 
(-0.0185546875, 0.9970703125, -0.00830078125)|4.93966847171|45 % 
(-0.01806640625, 0.99365234375, -0.00927734375)|4.94898482843|45 % 
(-0.0205078125, 0.9931640625, -0.005859375)|4.97831108541|45 % 
(-0.02099609375, 0.994873046875, -0.0078125)|4.9974103673|45 % 
(-0.01806640625, 0.99267578125, -0.00732421875)|5.00691279832|45 % 
(-0.0205078125, 0.993408203125, -0.0078125)|5.01695448923|45 % 
(-0.020751953125, 0.995361328125, -0.004150390625)|5.02649721659|45 % 
(-0.02099609375, 0.993896484375, -0.003662109375)|5.03649229016|45 % 
(-0.01708984375, 0.994873046875, -0.0068359375)|5.04602909159|45 % 
(-0.021728515625, 0.996826171875, -0.0107421875)|5.05589181933|45 % 
(-0.021240234375, 0.9990234375, -0.001708984375)|5.065430201|45 % 
(-0.02197265625, 0.994384765625, -0.0078125)|5.0754260647|45 % 
(-0.0224609375, 0.992919921875, -0.00732421875)|5.0850007921|45 % 
(-0.01806640625, 0.99560546875, -0.00634765625)|5.09457038369|45 % 
(-0.021240234375, 0.990966796875, -0.0048828125)|5.11369218413|45 % 
(-0.01953125, 0.994873046875, -0.0048828125)|5.12356162792|45 % 
(-0.02197265625, 0.99169921875, -0.00390625)|5.13359423241|45 % 
(-0.017822265625, 0.99462890625, -0.0068359375)|5.14315631781|45 % 
(-0.019287109375, 0.999267578125, -0.00732421875)|5.153002848|45 % 
(-0.02294921875, 0.9951171875, -0.00537109375)|5.16263327917|45 % 
(-0.017578125, 0.993896484375, -0.009765625)|5.17205985824|45 % 
(-0.021484375, 0.99560546875, -0.00341796875)|5.1910979055|45 % 
(-0.01708984375, 0.9931640625, -0.00439453125)|5.20061692913|45 % 
(-0.02001953125, 0.9951171875, -0.005859375)|5.2106412373|45 % 
(-0.021728515625, 0.9921875, -0.00634765625)|5.22029813764|45 % 
(-0.017578125, 0.994384765625, -0.00634765625)|5.22970417348|45 % 
