

Device Info|Serial Number|Firmware Version|Hardware Version
|301992023;17Mar2015N37;TSS-WL                  v2.0.0  

Raw Accelerometer Data|Time|Battery
(-0.49267578125, 0.809326171875, -1.302734375)|4.07387663077|61 % 
(-0.149658203125, 1.0, -1.466064453125)|4.08349560513|61 % 
(0.14013671875, 0.4970703125, 0.156005859375)|4.10262570188|61 % 
(-0.004150390625, 0.7548828125, -0.907958984375)|4.11250976297|61 % 
(0.053466796875, 1.030029296875, -0.99609375)|4.12202720635|61 % 
(0.13623046875, 1.166748046875, 0.655029296875)|4.13200845275|61 % 
(-0.04052734375, 0.927978515625, 0.5390625)|4.14161478512|61 % 
(-0.06005859375, 1.099853515625, 0.5634765625)|4.15155613024|61 % 
(0.266357421875, 1.09326171875, -0.303955078125)|4.1611427095|61 % 
(0.251708984375, 1.486328125, 0.486328125)|4.17068543686|61 % 
(0.179443359375, 0.781494140625, -0.077880859375)|4.18024712721|61 % 
(0.023193359375, 1.41357421875, 0.6611328125)|4.18970057051|61 % 
(0.394775390625, 0.18603515625, 0.22314453125)|4.19929821151|61 % 
(0.077392578125, 0.8935546875, -0.03955078125)|4.20878167954|61 % 
(0.019775390625, 1.470947265625, -0.125244140625)|4.21828806118|61 % 
(0.13818359375, 0.876220703125, -0.031494140625)|4.22783671447|61 % 
(0.282958984375, 1.337646484375, 0.228515625)|4.23735494798|61 % 
(0.033203125, 1.028564453125, 0.10400390625)|4.24685421849|61 % 
(0.1669921875, 0.517333984375, 0.08154296875)|4.25659210658|61 % 
(0.130615234375, 0.779296875, 0.107421875)|4.26594836458|61 % 
(0.0146484375, 1.193115234375, 0.0859375)|4.28543125187|61 % 
(0.133544921875, 0.592041015625, 0.03125)|4.29495936193|61 % 
(0.05517578125, 1.19140625, 0.050048828125)|4.30450248435|61 % 
(0.321533203125, 0.922607421875, 1.1083984375)|4.32357332177|61 % 
(0.24462890625, 1.312744140625, 0.63525390625)|4.33309945651|61 % 
(0.42822265625, 0.84228515625, -0.0771484375)|4.34258568998|61 % 
(0.48095703125, 0.9482421875, 0.172607421875)|4.35217147912|61 % 
(-1.2978515625, 0.921875, 0.82470703125)|4.36170709536|61 % 
(-0.800048828125, 0.94287109375, 0.419189453125)|4.37142957602|61 % 
(-0.216552734375, 1.928466796875, -0.151611328125)|4.38076252535|61 % 
(-0.80029296875, 0.326171875, -1.461669921875)|4.39074100631|61 % 
(-0.8427734375, 1.24462890625, -1.0791015625)|4.40034141275|61 % 
(-1.141357421875, 1.443359375, -0.004638671875)|4.4103001406|61 % 
(-0.530517578125, 1.025390625, -0.353515625)|4.41984681858|61 % 
(-0.158203125, 0.60791015625, 0.1025390625)|4.42966806479|61 % 
(-0.216796875, 1.053955078125, -0.191162109375)|4.43894412517|61 % 
(-0.512451171875, 1.999755859375, -1.028564453125)|4.44877406274|61 % 
(0.148681640625, 1.09912109375, 0.168701171875)|4.45882642034|61 % 
(0.165283203125, 0.568603515625, -0.447265625)|4.46837309832|61 % 
(0.20068359375, 0.970458984375, -0.12890625)|4.4783326163|61 % 
(0.32568359375, 1.144287109375, 0.097412109375)|4.48817914648|61 % 
(0.235595703125, 0.711669921875, -0.077392578125)|4.4978905654|61 % 
(0.037841796875, 1.039306640625, -0.016845703125)|4.50741749027|61 % 
(-0.0146484375, 1.010009765625, 0.014892578125)|4.51693769909|61 % 
(0.002685546875, 0.91845703125, -0.07568359375)|4.5264693647|61 % 
(-0.02880859375, 0.974609375, -0.031494140625)|4.53601090688|61 % 
(0.014892578125, 0.86865234375, -0.056884765625)|4.54609565957|61 % 
(-0.00830078125, 0.982421875, -0.05517578125)|4.55605833804|61 % 
(-0.01123046875, 0.991455078125, -0.049560546875)|4.56562160864|61 % 
(-0.008056640625, 0.9462890625, -0.05419921875)|4.57514932363|61 % 
(0.0009765625, 0.996337890625, -0.01953125)|4.58467190282|61 % 
(0.006103515625, 0.947998046875, -0.01953125)|4.59421067956|61 % 
(-0.003662109375, 0.971435546875, -0.02001953125)|4.60454511156|61 % 
(0.513427734375, 0.93212890625, -0.04443359375)|4.61377297435|61 % 
(-0.876953125, 1.4453125, -0.072021484375)|4.62328054117|61 % 
(-0.2998046875, 0.85888671875, 0.44921875)|4.63280944135|61 % 
(-0.0908203125, 1.11669921875, -0.0576171875)|4.6423272798|61 % 
(0.00830078125, 0.667724609375, -0.00830078125)|4.65186368616|61 % 
(0.27392578125, 1.07470703125, -0.032470703125)|4.66157036433|61 % 
(0.375244140625, 1.340576171875, 0.511962890625)|4.68094974532|61 % 
(0.097900390625, 1.290283203125, 0.08056640625)|4.69049602824|61 % 
(0.08251953125, 1.1669921875, -0.016357421875)|4.70000833581|61 % 
(0.132568359375, 0.934326171875, -0.138916015625)|4.70955856935|61 % 
(0.068359375, 0.9404296875, -0.132568359375)|4.71910840783|61 % 
(-0.190673828125, 0.96923828125, -0.07275390625)|4.72860135735|61 % 
(-0.265625, 0.95068359375, 0.088623046875)|4.73809983775|61 % 
(0.164794921875, 1.00439453125, -0.205078125)|4.74814389903|61 % 
(0.138427734375, 0.999267578125, 0.01611328125)|4.75764435474|61 % 
(0.107177734375, 0.946044921875, -0.123779296875)|4.76716258824|61 % 
(0.245849609375, 0.949951171875, -0.197509765625)|4.77696724184|61 % 
(0.07568359375, 0.92822265625, -0.169189453125)|4.78671303117|61 % 
(0.13330078125, 0.952392578125, -0.153564453125)|4.79623284492|61 % 
(0.051513671875, 0.70947265625, -0.00146484375)|4.80577438709|61 % 
(-0.03955078125, 1.1103515625, -0.01318359375)|4.81578012734|61 % 
(-0.209228515625, 1.137451171875, 0.10791015625)|4.82532206458|61 % 
(-0.148193359375, 1.0634765625, -0.18896484375)|4.83512237249|61 % 
(0.514892578125, 0.0556640625, -0.13330078125)|4.84481956917|61 % 
(-0.080322265625, 1.51513671875, 0.06591796875)|4.8544180003|61 % 
(-0.1923828125, 0.839599609375, -0.00244140625)|4.86390541895|61 % 
(-0.339111328125, 1.406005859375, -0.024658203125)|4.87348528216|61 % 
(-0.185302734375, 0.746826171875, 0.0380859375)|4.8834681088|61 % 
(-0.016845703125, 0.9833984375, 0.054443359375)|4.89306100906|61 % 
(-0.02783203125, 0.984619140625, 0.0126953125)|4.90254368697|61 % 
(0.001953125, 0.974853515625, 0.0107421875)|4.91254508153|61 % 
(0.003173828125, 0.97509765625, -0.0166015625)|4.92208385827|61 % 
(-0.002685546875, 0.9658203125, -0.02001953125)|4.93165107949|61 % 
