

Device Info|WL Sensor|Firmware Version|Hardware Version
|<YEI3Space WL:12000857>;17Mar2015N37;TSS-WL                  v2.0.0  

Raw Accelerometer Data (X, Y, Z)|Time|Battery
(0.300048828125, -0.798583984375, -0.07373046875)|3.4413453132|34 % 
(0.697509765625, -0.695556640625, -0.15673828125)|3.45090147267|34 % 
(0.942626953125, -0.64892578125, -0.16259765625)|3.46038849626|34 % 
(0.978515625, -0.705078125, -0.157958984375)|3.47510179765|34 % 
(0.831787109375, -0.7392578125, -0.18701171875)|3.48489262407|34 % 
(0.790771484375, -0.86181640625, -0.282470703125)|3.49443140081|34 % 
(0.687255859375, -0.991455078125, -0.24169921875)|3.50398677016|34 % 
(0.52294921875, -1.021484375, -0.21875)|3.51347813943|34 % 
(0.307373046875, -0.908935546875, -0.202880859375)|3.52305444708|34 % 
(0.146728515625, -0.617919921875, -0.174072265625)|3.53256161884|34 % 
(0.185546875, -0.099365234375, -0.075439453125)|3.54208735852|34 % 
(1.12939453125, -0.184814453125, 0.25)|3.55161783895|34 % 
(1.15234375, -0.701171875, -0.09326171875)|3.56111868972|34 % 
(0.718994140625, -1.357421875, -0.18212890625)|3.58032542853|34 % 
(0.5341796875, -1.3818359375, -0.134765625)|3.59965858725|34 % 
(0.432861328125, -1.211181640625, 0.0087890625)|3.61879460993|34 % 
(0.407958984375, -1.009521484375, -0.0849609375)|3.62879560944|34 % 
(0.27294921875, -0.764892578125, 0.06298828125)|3.63909211547|34 % 
(-1.817626953125, -0.27783203125, 0.5126953125)|3.64885726284|34 % 
(-0.107421875, -0.48388671875, 0.0966796875)|3.65835218768|34 % 
(-0.016845703125, -0.945556640625, 0.03076171875)|3.66791229777|34 % 
(-0.02001953125, -1.018798828125, -0.01220703125)|3.6778880133|34 % 
(0.32666015625, -1.12646484375, -0.11767578125)|3.68744259252|34 % 
(0.703369140625, -1.05517578125, -0.13134765625)|3.69708685087|34 % 
(0.98486328125, -0.92578125, -0.119140625)|3.70695155392|34 % 
(1.036376953125, -0.656005859375, -0.20703125)|3.71654089862|34 % 
(0.9609375, -0.610595703125, -0.2119140625)|3.72606387287|34 % 
(0.43408203125, -0.862060546875, -0.103515625)|3.73553311866|34 % 
(0.2900390625, -0.912841796875, -0.050537109375)|3.74508927813|34 % 
(0.208984375, -0.88525390625, -0.04052734375)|3.7548816848|34 % 
(0.166748046875, -0.7041015625, -0.0576171875)|3.76463498031|34 % 
(0.241943359375, -0.769287109375, -0.041748046875)|3.77416546074|34 % 
(0.350830078125, -0.91748046875, -0.027587890625)|3.79323392778|34 % 
(0.34521484375, -0.88916015625, -0.12646484375)|3.80280628481|34 % 
(0.296875, -0.895751953125, -0.20361328125)|3.81301824753|34 % 
(0.296875, -0.900634765625, -0.271484375)|3.82230615977|34 % 
(0.405517578125, -1.003662109375, -0.279541015625)|3.83182636858|34 % 
(0.520751953125, -1.059326171875, -0.234130859375)|3.84156662704|34 % 
(0.534423828125, -0.985595703125, -0.26904296875)|3.86063627927|34 % 
(0.470458984375, -0.9755859375, -0.3701171875)|3.87024537708|34 % 
(0.37158203125, -1.1552734375, -0.275390625)|3.8796944747|34 % 
(0.3134765625, -1.214111328125, -0.260498046875)|3.88969744952|34 % 
(0.12939453125, -1.014404296875, -0.1650390625)|3.90919613929|34 % 
(0.002197265625, -0.96142578125, -0.01416015625)|3.91876375557|34 % 
(0.0751953125, -0.946044921875, -0.041015625)|3.92855932274|34 % 
(0.11474609375, -0.965576171875, -0.1240234375)|3.93782787693|34 % 
(0.16357421875, -1.001708984375, -0.164306640625)|3.94735124624|34 % 
(0.17822265625, -0.95751953125, -0.122802734375)|3.95691886252|34 % 
(0.1943359375, -0.82958984375, -0.11572265625)|3.96642879972|34 % 
(0.265869140625, -0.571044921875, -0.1533203125)|3.97641399674|34 % 
(0.309814453125, -0.380615234375, -0.1494140625)|3.9860183538|34 % 
(0.381591796875, -0.26123046875, -0.1494140625)|3.99542280939|34 % 
(0.468994140625, -0.316162109375, -0.15771484375)|4.00501768496|34 % 
(0.5947265625, -0.482177734375, -0.175537109375)|4.01493848684|34 % 
(0.68994140625, -0.70166015625, -0.17822265625)|4.02444960922|34 % 
(0.672119140625, -0.85205078125, -0.1044921875)|4.03398996621|34 % 
(0.769287109375, -0.966552734375, -0.119873046875)|4.04358089116|34 % 
(0.936767578125, -0.935791015625, -0.150146484375)|4.0530307789|34 % 
(1.057861328125, -0.838623046875, -0.15625)|4.06306654388|34 % 
(0.8955078125, -0.7880859375, -0.24267578125)|4.07256146871|34 % 
(0.91357421875, -0.78125, -0.268310546875)|4.08209985039|34 % 
(0.835205078125, -0.833984375, -0.212646484375)|4.09188040519|34 % 
(0.7607421875, -0.768310546875, -0.23095703125)|4.10165503406|34 % 
(0.720703125, -0.661376953125, -0.214599609375)|4.11090106971|34 % 
(0.686279296875, -0.571533203125, -0.20263671875)|4.12043036495|34 % 
(0.74169921875, -0.486572265625, -0.1650390625)|4.12996400588|34 % 
(0.728759765625, -0.333251953125, -0.035888671875)|4.14001320298|34 % 
(0.803955078125, -0.32421875, -0.1171875)|4.14948679445|34 % 
(0.850830078125, -0.40234375, -0.221435546875)|4.15924008996|34 % 
(0.821044921875, -0.497314453125, -0.311767578125)|4.16853906395|34 % 
(0.719970703125, -0.685302734375, -0.22802734375)|4.17809364317|34 % 
(0.66796875, -0.68994140625, -0.17431640625)|4.18762807423|34 % 
(0.62890625, -0.659423828125, -0.125732421875)|4.19717633246|34 % 
(0.626708984375, -0.616455078125, -0.252685546875)|4.20664281281|34 % 
(0.700927734375, -0.664306640625, -0.321044921875)|4.21641072562|34 % 
(0.81396484375, -0.944091796875, -0.31982421875)|4.22585942818|34 % 
(0.70654296875, -0.92626953125, -0.2646484375)|4.23569963737|34 % 
(0.5615234375, -0.65625, -0.214599609375)|4.24531505618|34 % 
(0.92041015625, -0.385986328125, -0.244384765625)|4.25479259827|34 % 
(0.984375, -0.306396484375, -0.236083984375)|4.26434046144|34 % 
(0.8720703125, -0.356201171875, -0.26416015625)|4.27405109023|34 % 
(0.80078125, -0.376220703125, -0.25634765625)|4.28389762042|34 % 
(0.80615234375, -0.37939453125, -0.248046875)|4.29338661932|34 % 
(0.8154296875, -0.361083984375, -0.262451171875)|4.30339591514|34 % 
(0.823974609375, -0.317626953125, -0.30224609375)|4.31290190171|34 % 
(0.743408203125, -0.30517578125, -0.318359375)|4.32244107351|34 % 
(0.871826171875, -0.344970703125, -0.353759765625)|4.3321935789|34 % 
(0.804931640625, -0.2841796875, -0.33984375)|4.34197887444|34 % 
(0.8095703125, -0.1611328125, -0.2890625)|4.35188545409|34 % 
(0.945556640625, -0.188232421875, -0.3017578125)|4.36143213207|34 % 
(0.992431640625, -0.20166015625, -0.34619140625)|4.37096774831|34 % 
(0.873046875, -0.166015625, -0.404296875)|4.38051561148|34 % 
(0.8837890625, -0.2392578125, -0.39501953125)|4.39077656191|34 % 
(0.829833984375, -0.220947265625, -0.411376953125)|4.40003642473|34 % 
(0.772216796875, -0.175537109375, -0.4169921875)|4.40960364595|34 % 
(0.7138671875, -0.099609375, -0.42431640625)|4.41909580535|34 % 
(0.659912109375, -0.0068359375, -0.473876953125)|4.42866065619|34 % 
(0.652099609375, 0.060791015625, -0.488525390625)|4.43817217364|34 % 
(0.6533203125, 0.1171875, -0.51220703125)|4.4477409751|34 % 
(0.64111328125, 0.228271484375, -0.5771484375)|4.45719283815|34 % 
(0.697021484375, 0.23583984375, -0.650634765625)|4.46673596058|34 % 
(0.757080078125, 0.271240234375, -0.71142578125)|4.47621745329|34 % 
(0.78369140625, 0.32763671875, -0.728515625)|4.48577914364|34 % 
(0.80322265625, 0.347900390625, -0.740234375)|4.49528354997|34 % 
(0.82080078125, 0.336181640625, -0.78662109375)|4.5048547218|34 % 
(0.87158203125, 0.325439453125, -0.841552734375)|4.51431290585|34 % 
(0.837890625, 0.34912109375, -0.80419921875)|4.52387736163|34 % 
(0.728515625, 0.297119140625, -0.611083984375)|4.53341297787|34 % 
(0.719970703125, 0.26220703125, -0.8056640625)|4.54293279162|34 % 
(0.76513671875, 0.282470703125, -0.8515625)|4.6005913291|34 % 
(0.7412109375, 0.38671875, -0.83154296875)|4.6083622025|34 % 
(0.636962890625, 0.42578125, -0.83935546875)|4.61589208797|34 % 
(0.568115234375, 0.31494140625, -0.849853515625)|4.62542849434|34 % 
(0.5302734375, 0.174560546875, -0.873779296875)|4.63496134514|34 % 
(0.573486328125, -0.034423828125, -0.8671875)|4.6449931595|34 % 
(0.677001953125, -0.07421875, -0.96875)|4.65452403499|34 % 
(0.645751953125, -0.045166015625, -0.86767578125)|4.6646368371|34 % 
(0.624755859375, 0.016845703125, -0.9140625)|4.68362076083|34 % 
(0.749755859375, -0.031005859375, -0.735595703125)|4.69315953757|34 % 
(0.76220703125, -0.13720703125, -0.9267578125)|4.70263786979|34 % 
(0.572265625, -0.09814453125, -0.77783203125)|4.72201132485|34 % 
(0.55419921875, -0.175537109375, -0.581787109375)|4.75058577847|34 % 
(0.358154296875, -0.171630859375, -0.4619140625)|4.76011902434|34 % 
(0.420654296875, -0.278564453125, -0.5107421875)|4.76962501091|34 % 
(0.4658203125, -0.201171875, -0.531005859375)|4.77989504778|34 % 
(0.674072265625, 0.0146484375, -0.657958984375)|4.78919323164|34 % 
(0.8173828125, 0.16845703125, -0.78076171875)|4.79869092191|34 % 
(0.87060546875, 0.09716796875, -0.869140625)|4.8082154764|34 % 
(0.669189453125, 0.04541015625, -0.9130859375)|4.817778747|34 % 
(0.488525390625, -0.02001953125, -0.88818359375)|4.82780028974|34 % 
(0.39794921875, -0.043212890625, -0.89404296875)|4.83790203011|34 % 
(0.55078125, -0.114013671875, -0.957763671875)|4.84752139953|34 % 
(0.6318359375, -0.212158203125, -0.9697265625)|4.85647864472|34 % 
(0.59912109375, -0.3095703125, -0.94775390625)|4.86413929577|34 % 
(0.523193359375, -0.50341796875, -0.916259765625)|4.87722731128|34 % 
(0.425537109375, -0.940673828125, -1.244873046875)|4.8871864342|34 % 
(0.2255859375, -0.423583984375, -0.65234375)|4.89684333453|34 % 
(0.509521484375, -0.266357421875, -0.69580078125)|4.90626754323|34 % 
(0.778076171875, 0.22412109375, -0.74951171875)|4.91573915939|34 % 
(0.6796875, -0.18115234375, -0.466796875)|4.94483588524|34 % 
(0.52294921875, -0.29931640625, -0.4609375)|4.95442602006|34 % 
(0.5205078125, -0.339111328125, -0.500732421875)|4.9638759078|34 % 
(0.5576171875, -0.4423828125, -0.481689453125)|4.97340994379|34 % 
(0.721435546875, -0.927734375, -0.30078125)|4.98291988099|34 % 
(0.425048828125, -0.9912109375, -0.576171875)|4.99245747254|34 % 
(0.1435546875, -0.736572265625, -0.3408203125)|5.00199427397|34 % 
(0.744140625, -0.709716796875, -0.94970703125)|5.01177956952|34 % 
(0.65576171875, -1.028564453125, -1.32080078125)|5.02104180272|34 % 
(0.629638671875, -0.305419921875, -1.068359375)|5.03054857942|34 % 
(0.581298828125, -0.15771484375, -0.711181640625)|5.0400806401|34 % 
(0.69384765625, -0.05419921875, -0.619873046875)|5.0496134909|34 % 
(0.71875, 0.1181640625, -0.632568359375)|5.05917241581|34 % 
(0.71728515625, 0.116943359375, -0.682373046875)|5.06941242795|34 % 
(0.5888671875, -0.02294921875, -0.79541015625)|5.08826163547|34 % 
(0.28125, -0.311767578125, -0.822265625)|5.0977451035|34 % 
(0.2412109375, -0.418212890625, -0.846435546875)|5.10726412713|34 % 
(0.164794921875, -0.49658203125, -0.983154296875)|5.11678196557|34 % 
(0.23583984375, -0.523681640625, -1.04345703125)|5.12643214985|34 % 
(0.370361328125, -0.43896484375, -1.1455078125)|5.13584648199|34 % 
(0.398193359375, -0.3740234375, -1.14404296875)|5.14537577724|34 % 
(0.44677734375, -0.21337890625, -1.14208984375)|5.15490112186|34 % 
(0.3857421875, -0.123779296875, -1.11181640625)|5.16435575035|34 % 
(0.27001953125, -0.18798828125, -1.0849609375)|5.17392850243|34 % 
(0.227783203125, -0.27880859375, -1.055419921875)|5.18345898286|34 % 
(0.166748046875, -0.417236328125, -1.006591796875)|5.19299973491|34 % 
(0.12939453125, -0.474609375, -0.94482421875)|5.20254167215|34 % 
(0.0810546875, -0.479248046875, -0.89794921875)|5.22162436143|34 % 
(0.228271484375, -0.575439453125, -0.802001953125)|5.23110071834|34 % 
(0.191162109375, -0.541015625, -0.85693359375)|5.24117756979|34 % 
(0.080810546875, -0.412109375, -1.04638671875)|5.25042795112|34 % 
(0.002685546875, -0.33544921875, -1.045654296875)|5.25997186367|34 % 
(-0.056884765625, -0.36279296875, -1.00146484375)|5.26990372729|34 % 
(0.000244140625, -0.30712890625, -0.98095703125)|5.27944368922|34 % 
(-0.0068359375, -0.354248046875, -1.0380859375)|5.28894295973|34 % 
(-0.078125, -0.453125, -0.972900390625)|5.29859946501|34 % 
(-0.191650390625, -0.47802734375, -0.94775390625)|5.30801379715|34 % 
(-0.50146484375, -0.617919921875, -0.8681640625)|5.32700680732|34 % 
(-0.48876953125, -0.411376953125, -0.910888671875)|5.33705047354|34 % 
(-0.45849609375, -0.291748046875, -0.935546875)|5.34657739841|34 % 
(-0.6787109375, -0.07421875, -0.94384765625)|5.35643103972|34 % 
(-0.78076171875, -0.115478515625, -0.97314453125)|5.36565534695|34 % 
