<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button
(0.607043445110321, -0.29293400049209595, -0.7283142805099487, 0.1234763041138649, 57, 0)
(0.594874918460846, -0.3012942373752594, -0.7324047684669495, 0.13758373260498047, 57, 0)
(0.5857260823249817, -0.30834588408470154, -0.7346768975257874, 0.1486535519361496, 57, 0)
(0.570462703704834, -0.32184356451034546, -0.7365365028381348, 0.16882921755313873, 57, 0)
(0.5466099977493286, -0.34433114528656006, -0.7371644973754883, 0.19809675216674805, 57, 0)
(0.519173264503479, -0.3732152581214905, -0.7349327206611633, 0.2259284108877182, 57, 0)
(0.493141770362854, -0.4076121747493744, -0.7243192195892334, 0.25695398449897766, 57, 0)
(0.4743366539478302, -0.4308452308177948, -0.7134729027748108, 0.28343212604522705, 57, 0)
(0.46190816164016724, -0.4444480538368225, -0.706084132194519, 0.3009190559387207, 57, 0)
(0.43917083740234375, -0.46694323420524597, -0.6936564445495605, 0.32853299379348755, 57, 0)
(0.4262155294418335, -0.4781530499458313, -0.6875848770141602, 0.3419608771800995, 57, 0)
(0.40567702054977417, -0.4945065379142761, -0.6779651641845703, 0.3622882664203644, 57, 0)
(0.38433384895324707, -0.511169970035553, -0.6663005352020264, 0.3834534287452698, 57, 0)
(0.3534376621246338, -0.5335181355476379, -0.6480404138565063, 0.41289710998535156, 57, 0)
(0.3276160657405853, -0.5505998730659485, -0.6320121884346008, 0.4359680414199829, 57, 0)
(0.2907622754573822, -0.5729477405548096, -0.6078287363052368, 0.4666183590888977, 57, 0)
(0.2512446343898773, -0.5941696763038635, -0.5804533958435059, 0.4969029426574707, 57, 0)
(0.20960652828216553, -0.6134347319602966, -0.5513397455215454, 0.5251550078392029, 57, 0)
(0.1670931726694107, -0.6300123929977417, -0.523249089717865, 0.5489763617515564, 57, 0)
(0.14509525895118713, -0.6364741921424866, -0.5102697610855103, 0.5598866939544678, 57, 0)
(0.12362576276063919, -0.6415601968765259, -0.49840158224105835, 0.5698360800743103, 57, 0)
(0.09343516826629639, -0.6465162634849548, -0.4832531809806824, 0.5828834772109985, 57, 0)
(0.05530720576643944, -0.6496091485023499, -0.46617835760116577, 0.5980191230773926, 57, 0)
(0.0167241133749485, -0.6497965455055237, -0.4503925144672394, 0.6120716333389282, 57, 0)
(-0.0031109736301004887, -0.6488684415817261, -0.44198888540267944, 0.6193593144416809, 57, 0)
(-0.030926909297704697, -0.6464549899101257, -0.42924582958221436, 0.6299900412559509, 57, 0)
(-0.06929893046617508, -0.643263041973114, -0.4102230668067932, 0.6427499651908875, 57, 0)
(-0.10096362978219986, -0.6390151977539062, -0.395463228225708, 0.6519777774810791, 57, 0)
(-0.1419084519147873, -0.6305543184280396, -0.37781620025634766, 0.6629618406295776, 57, 0)
(-0.18138816952705383, -0.6200047135353088, -0.36192387342453003, 0.672089159488678, 57, 0)
(-0.190911665558815, -0.6172252297401428, -0.35820308327674866, 0.6740003228187561, 57, 0)
(-0.2231016904115677, -0.6074451208114624, -0.34559744596481323, 0.6795575618743896, 57, 0)
(-0.25425219535827637, -0.5972247123718262, -0.3335793614387512, 0.6836690902709961, 57, 0)
(-0.2734915018081665, -0.5903440117835999, -0.3266838788986206, 0.6855465173721313, 57, 0)
(-0.3078518509864807, -0.5770742297172546, -0.31589359045028687, 0.6873310804367065, 57, 0)
(-0.33182215690612793, -0.5670312643051147, -0.3093845844268799, 0.6874961256980896, 57, 0)
(-0.3619413673877716, -0.5536527037620544, -0.3019116520881653, 0.6865249872207642, 57, 0)
(-0.3916817307472229, -0.5401892066001892, -0.29496055841445923, 0.6839442253112793, 57, 0)
